id,lat,lon,rr,source
1342,38.701561,-90.157176,GCSX/TRRA/NS/UP/KCS/ALS,derived
1343,28.407,-80.757,FEC,derived
1344,37.743891,-82.205857,NS,derived
1346,40.61,-75.33,NS LVRB (set the IM terminal NS only),derived
1347,40.70898,-74.148,"NS, CSX, CR",derived
1349,40.414797,-80.065915,WE,derived
1351,38.473,-87.284,BNSF,derived
1352,37.521386,-122.02777,UP BNSF AMTRAK ACE,derived
1353,37.95,-121.25,BNSF,derived
1354,37.947,-121.276,BNSF & UP,derived
1358,29.629,-95.305,BNSF UP,derived
1361,28.44289,-81.367024,"CSX, AMTK, FCEN",derived
1366,42.571,-83.04,CRSA,derived
1371,43.47,-79.67,CN,derived
1372,29.799,-95.289,UP BNSF KCS,derived
1375,30.07889,-95.41945,"UP,BNSF",derived
1376,43.723,-79.655,CN,derived
1378,29.768,-95.181,UP,derived
1379,41.072522,-85.046208,NS,derived
1380,41.064,-85.1048,NS CFE,derived
1382,30.35,-91.27,UP,derived
1384,42.2778,-83.175,"NS,CSX",derived
1385,40.2616,-76.7734,NS,derived
1387,30.440093,-82.866298,NS,derived
1389,33.759,-118.222,PHL,derived
1390,41.607338,-71.470108,SVTX,derived
1393,41.521,-109.457,UP,derived
1394,35.21085,-101.812,Connections:,derived
1395,43.80998,-79.6692,"CP,CN",derived
1398,39.446,-78.981,CSX,derived
1400,36.016,-115.231,,derived
1401,32.507,-93.736,UP/BNSF,derived
1402,39.157024,-121.590995,UP,derived
1405,27.431,-80.319,FEC,derived
1408,43.812418,-79.511875,CN/GO,derived
1410,41.748,-87.873,BNSF,derived
1414,41.102867,-81.639882,WE,derived
1417,39.297135,-76.541127,"NS, AMTRAK, MARC",derived
1418,39.268,-76.555,"CSX, NS, CTN",derived
1421,38.03623,-122.11914,UP (BNSF),derived
1429,39.499484,-80.126994,"CSX, NS",derived
1430,39.384,-80.332,CSX,derived
1431,30.21,-81.38,TTR,derived
1434,34.018,-95.324,"KRR, DQE",derived
1435,35.048087,-89.569913,NS,derived
1436,40.3958,-79.7869,NS,derived
1437,34.3657,-86.5858,"NS,CSX",derived
1441,37.711,-81.228,NS CSX,derived
1442,30.55,-88.15,CSX,derived
1445,35.13,-90.077,"UP, BNSF, CN",derived
1447,32.469165,-84.979388,"NS, GSWR",derived
1448,35.1975,-90.2656,UP,derived
1449,35.1629,-89.9678,UP/CSX/CN,derived
1450,35.0263,-89.8907,BNSF,derived
1453,39.904349,-82.948654,NS,derived
1454,41.637,-83.587,"NS, AMTK",derived
1455,39.109895,-84.538835,"CSX, NS",derived
1456,39.800096,-79.786363,"CSX,AMTK,WE",derived
1457,37.411,-81.455,NS,derived
1459,37.843,-81.629,CSX,derived
1462,38.187021,-85.681117,NS,derived
1463,44.818131,-92.943557,CP BNSF,derived
1464,39.24734,-76.528502,NS,derived
1467,33.47603,-86.93592,CSX/KCS/NS/BSRR,derived
1468,41.78608,-87.6779,CSX,derived
1470,41.841,-87.762,BNSF/AMTK/METRA,derived
1472,41.80152,-87.63685,NS UP METRA AMTRAK,derived
1473,41.76821,-87.7619,BRC/CSX/CN,derived
1476,40.290844,-76.888597,"NS, CP, AMTK",derived
1477,32.198,-110.932,UP Amtrak,derived
1478,37.649034,-91.582031,CP/CN/BNSF/AMTK,derived
1479,33.422544,-84.148605,NS,derived
1480,49.315153,-123.116507,CN,derived
1483,34.853,-80.911,CSX,derived
1484,38.7332272435,-121.30658684,UP,derived
1485,39.13791,-76.78532,"CSX, CP, MARC",derived
1488,44.567602,-69.619331,PAR,derived
1489,36.944,-86.487,CSXT,derived
1490,42.179834,-83.394048,CSX,derived
1495,46.10466,-118.91584,"UP, BNSF, BLMR",derived
1497,32.927319,-83.494438,NS,derived
1498,34.583699,-109.269744,BNSF,derived
1499,35.176,-106.62,BNSF,derived
1500,41.664633,-86.026127,"NS,EWR",derived
1501,34.824,-102.378,BNSF,derived
1502,47.23803,-122.38431,UP/Port of Tacoma,derived
1503,47.242603,-122.42018,"BNSF,UP,TMBL,TMRW,SDRX,AMTK",derived
1505,41.441,-88.16,BNSF/UP/CN,derived
1506,48.358386,-89.34294,"CN, CP",derived
1507,52.13511,-106.586942,CP/CN,derived
1508,52.089715,-106.377591,CP,derived
1509,40.551924,-89.670089,"IMRR,TZPR,UP,CN",derived
1510,53.583,-113.514,CN,derived
1512,50.7213,-120.3466,CN,derived
1514,46.77,-92.1,####/####,derived
1515,41.72,-87.56,BRC NS CSS,derived
1517,47.091191,-122.35864,TRMW,derived
1518,52.0302,-103.4027,CP,derived
1519,27.943798,-81.693609,"CSX, AMTK",derived
1521,40.402,-79.945,AVR,derived
1522,40.828,-79.938,CN,derived
1524,37.528,-77.442,NS,derived
1527,37.532524,-77.430375,BNSF RPRC UP,derived
1530,43.52,-105.27,BNSF UP,derived
1531,43.46,-105.33,BNSF UP,derived
1532,40.375,-86.825,NS,derived
1533,50.957,-113.946,CP,derived
1535,40.444381,-86.860646,NS,derived
1537,33.44327,-112.054163,UP,derived
1538,47.5875434356,-122.351537676,"BNSF,UP",derived
1539,46.263,-96.571,"BNSF, AMTK, SDRX",derived
1542,27.477,-82.55,CSXT,derived
1543,42.89998915,-78.87126012,CSX,derived
1558,40.704282,-74.190375,CSAO Amtrak NJT,derived
1559,45.3059,-68.2104,"PAR, NBSR",derived
1561,40.811916,-73.898639,CSX,derived
1562,38.66,-90.19,TRRA; child NS,derived
1565,33.461646,-112.101045,BNSF,derived
1566,37.803266,-122.306755,"UP,BNSF,AMTRK,OTR",derived
1567,45.316958,-95.609624,BNSF,derived
1568,46.282176,-96.065728,OVTR,derived
1569,45.125835,-94.528109,BNSF,derived
1572,28.0131073445,-82.5305046908,CSX,derived
1578,38.52,-90.21,UP,derived
1580,47.5767424569,-122.367628909,"BNSF, UP",derived
1581,32.4739,-115.3306,UP,derived
1582,48.2380936133,-101.18602408,BNSF,derived
1583,46.805,-100.776,"BNSF, DMVW",derived
1584,46.8257122082,-100.888040288,BNSF,derived
1587,49.213545,-122.845179,"CN,CP",derived
1588,34.010251,-118.178096,"UP,SCRRA",derived
1589,26.771,-80.062,FEC,derived
1590,44.03307,-107.95286,,derived
1592,40.824442,-74.022533,"CSX, NS, NYSW",derived
1594,41.42972,-84.87139,"NS, CP, CSX",derived
1595,41.9010939094,-87.8977068227,UP,derived
1596,50.925,-102.806,CN,derived
1598,50.455,-104.594,CP,derived
1599,50.281199,-107.806288,CP,derived
